,word,happiness_rank,happiness_average,happiness_standard_deviation,twitter_rank,google_rank,nyt_rank,lyrics_rank,happiness_score_centered
0,laughter,1,8.5,0.9313,3600.0,,,1728.0,14.401082497122042
1,happiness,2,8.44,0.9723,1853.0,2458.0,,1230.0,14.12456050468169
2,love,3,8.42,1.1082,25.0,317.0,328.0,23.0,14.032386507201577
3,happy,4,8.3,0.9949,65.0,1372.0,1313.0,375.0,13.479342522320884
4,laughed,5,8.26,1.1572,3334.0,3542.0,,2332.0,13.294994527360648
5,laugh,6,8.22,1.3746,1002.0,3998.0,4488.0,647.0,13.11064653240042
6,laughing,7,8.2,1.1066,1579.0,,,1122.0,13.018472534920297
7,excellent,8,8.18,1.1008,1496.0,1756.0,3155.0,,12.926298537440184
8,laughs,9,8.18,1.1551,3554.0,,,2856.0,12.926298537440184
9,joy,10,8.16,1.0568,988.0,2336.0,2723.0,809.0,12.83412453996007
10,successful,11,8.16,1.0759,2176.0,1198.0,1565.0,,12.83412453996007
11,win,12,8.12,1.0812,154.0,3031.0,776.0,694.0,12.649776544999833
12,rainbow,13,8.1,0.9949,2726.0,,,1723.0,12.55760254751972
13,smile,14,8.1,1.0152,925.0,2666.0,2898.0,349.0,12.55760254751972
14,won,15,8.1,1.2164,810.0,1167.0,439.0,1493.0,12.55760254751972
15,pleasure,16,8.08,0.9655,1497.0,1526.0,4253.0,1398.0,12.465428550039606
16,smiled,17,8.08,1.066,,3537.0,,2248.0,12.465428550039606
17,rainbows,18,8.06,1.3603,,,,4216.0,12.37325455255949
18,winning,19,8.04,1.049,1876.0,,1426.0,3646.0,12.281080555079368
19,celebration,20,8.02,1.5318,3306.0,,2762.0,4070.0,12.188906557599255
20,enjoyed,21,8.02,1.5318,1530.0,2908.0,3502.0,,12.188906557599255
21,healthy,22,8.02,1.0593,1393.0,3200.0,3292.0,4619.0,12.188906557599255
22,music,23,8.02,1.1156,132.0,875.0,167.0,374.0,12.188906557599255
23,celebrating,24,8.0,1.1429,2550.0,,,,12.096732560119142
24,congratulations,25,8.0,1.6288,2246.0,,,,12.096732560119142
25,weekend,26,8.0,1.2936,317.0,,833.0,2256.0,12.096732560119142
26,celebrate,27,7.98,1.1516,1606.0,,3574.0,2108.0,12.004558562639026
27,comedy,28,7.98,1.1516,1444.0,,2566.0,,12.004558562639026
28,jokes,29,7.98,0.9792,2812.0,,,3808.0,12.004558562639026
29,rich,30,7.98,1.3169,1625.0,1221.0,1469.0,890.0,12.004558562639026
30,victory,31,7.98,1.0784,1809.0,2341.0,687.0,2845.0,12.004558562639026
31,christmas,32,7.96,1.293,138.0,3846.0,2097.0,599.0,11.91238456515891
32,free,33,7.96,1.261,85.0,342.0,393.0,219.0,11.91238456515891
33,friendship,34,7.96,1.1241,4273.0,3098.0,3669.0,3980.0,11.91238456515891
34,fun,35,7.96,1.3087,110.0,4135.0,2189.0,463.0,11.91238456515891
35,holidays,36,7.96,1.261,1204.0,,,,11.91238456515891
36,loved,37,7.96,1.1599,465.0,2178.0,890.0,517.0,11.91238456515891
37,loves,38,7.96,1.3696,780.0,,,653.0,11.91238456515891
38,loving,39,7.96,1.0093,947.0,4396.0,230.0,527.0,11.91238456515891
39,beach,40,7.94,1.0577,573.0,3596.0,551.0,1475.0,11.820210567678796
40,hahaha,41,7.94,1.5572,428.0,,,,11.820210567678796
41,kissing,42,7.94,1.1323,,,,2052.0,11.820210567678796
42,sunshine,43,7.94,1.1678,2080.0,,,950.0,11.820210567678796
43,beautiful,44,7.92,1.1753,266.0,1159.0,1754.0,467.0,11.728036570198677
44,delicious,45,7.92,1.2591,1565.0,,,,11.728036570198677
45,friends,46,7.92,1.1925,258.0,658.0,347.0,321.0,11.728036570198677
46,funny,47,7.92,1.0467,358.0,,3194.0,755.0,11.728036570198677
47,outstanding,48,7.92,1.14,4468.0,4721.0,1797.0,,11.728036570198677
48,paradise,49,7.92,1.3974,3096.0,,,1146.0,11.728036570198677
49,sweetest,50,7.92,1.2911,,,,2232.0,11.728036570198677
50,vacation,51,7.92,1.9042,952.0,,3251.0,3780.0,11.728036570198677
51,butterflies,52,7.92,1.077,,,,4175.0,11.728036570198677
52,freedom,53,7.9,1.4178,1465.0,933.0,1844.0,879.0,11.635862572718562
53,flower,54,7.88,1.1718,2769.0,3675.0,,1929.0,11.543688575238445
54,great,55,7.88,1.2061,94.0,110.0,219.0,579.0,11.543688575238445
55,sunlight,56,7.88,1.4934,,,,2316.0,11.543688575238445
56,sweetheart,57,7.88,1.272,3055.0,,,2919.0,11.543688575238445
57,sweetness,58,7.88,1.1891,,,,4465.0,11.543688575238445
58,award,59,7.86,1.5651,1715.0,,1429.0,,11.451514577758331
59,chocolate,60,7.86,1.0304,436.0,,,2695.0,11.451514577758331
60,hahahaha,61,7.86,1.7025,1341.0,,,,11.451514577758331
61,heaven,62,7.86,1.578,1294.0,1615.0,3939.0,392.0,11.451514577758331
62,peace,63,7.86,1.3403,675.0,702.0,775.0,559.0,11.451514577758331
63,splendid,64,7.86,1.457,,4763.0,,,11.451514577758331
64,success,65,7.86,1.6414,657.0,847.0,1338.0,3316.0,11.451514577758331
65,enjoying,66,7.84,1.5032,875.0,,,,11.359340580278213
66,kissed,67,7.84,1.5048,,,,1322.0,11.359340580278213
67,attraction,68,7.82,1.024,,,,4179.0,11.267166582798097
68,celebrated,69,7.8,1.178,,3720.0,3432.0,,11.17499258531798
69,hero,70,7.8,1.3997,1867.0,3362.0,3816.0,1648.0,11.17499258531798
70,hugs,71,7.8,1.4428,1868.0,,,,11.17499258531798
71,positive,72,7.8,1.2454,1728.0,958.0,2139.0,3575.0,11.17499258531798
72,sun,73,7.8,1.3553,439.0,978.0,2010.0,214.0,11.17499258531798
73,birthday,74,7.78,1.9091,190.0,,2241.0,2529.0,11.082818587837867
74,blessed,75,7.78,1.2824,1733.0,3876.0,,1618.0,11.082818587837867
75,fantastic,76,7.78,1.0934,1354.0,,,,11.082818587837867
76,winner,77,7.78,1.6938,1793.0,,1916.0,3199.0,11.082818587837867
77,delight,78,7.78,1.4181,,3954.0,,2987.0,11.082818587837867
78,beauty,79,7.76,1.6107,1032.0,1611.0,2519.0,1013.0,10.990644590357748
79,butterfly,80,7.76,1.3334,4332.0,,,2836.0,10.990644590357748
80,entertainment,81,7.76,1.2216,2247.0,,1712.0,,10.990644590357748
81,funniest,82,7.76,1.5592,3451.0,,,,10.990644590357748
82,honesty,83,7.76,1.2707,,,,3653.0,10.990644590357748
83,sky,84,7.76,1.0797,842.0,2374.0,4221.0,274.0,10.990644590357748
84,smiles,85,7.76,1.7907,2971.0,,,1782.0,10.990644590357748
85,succeed,86,7.76,1.6971,,4088.0,3212.0,4270.0,10.990644590357748
86,wonderful,87,7.76,1.7907,749.0,2841.0,1571.0,1188.0,10.990644590357748
87,glorious,88,7.74,1.3969,,4792.0,,3926.0,10.898470592877633
88,kisses,89,7.74,1.192,2942.0,,,1340.0,10.898470592877633
89,promotion,90,7.74,1.3822,3037.0,4108.0,4849.0,,10.898470592877633
90,family,91,7.72,1.3099,203.0,235.0,109.0,738.0,10.806296595397516
91,gift,92,7.72,1.3407,443.0,2734.0,2672.0,1710.0,10.806296595397516
92,humor,93,7.72,1.0887,1516.0,,1826.0,,10.806296595397516
93,romantic,94,7.72,1.1959,2535.0,3812.0,4200.0,4201.0,10.806296595397516
94,cupcakes,95,7.7,1.233,3799.0,,,,10.714122597917402
95,festival,96,7.7,1.0738,2024.0,,1020.0,,10.714122597917402
96,hahahahaha,97,7.7,1.359,3436.0,,,,10.714122597917402
97,honour,98,7.7,1.2495,,2713.0,,,10.714122597917402
98,relax,99,7.7,1.0738,1986.0,,,1752.0,10.714122597917402
99,weekends,100,7.7,1.7871,4100.0,,,,10.714122597917402
100,angel,101,7.68,1.2362,1299.0,4854.0,,578.0,10.621948600437284
101,b-day,102,7.68,1.5312,,,,,10.621948600437284
102,bonus,103,7.68,1.463,3131.0,,,,10.621948600437284
103,brilliant,104,7.68,1.6218,1843.0,3670.0,3679.0,,10.621948600437284
104,diamonds,105,7.68,1.4769,,,,1457.0,10.621948600437284
105,holiday,106,7.68,1.3005,434.0,,1895.0,2241.0,10.621948600437284
106,lucky,107,7.68,1.2688,537.0,,4327.0,975.0,10.621948600437284
107,mother,108,7.68,1.6714,626.0,437.0,170.0,549.0,10.621948600437284
108,super,109,7.68,1.5964,408.0,,2673.0,1726.0,10.621948600437284
109,amazing,110,7.66,1.493,316.0,,,2297.0,10.529774602957168
110,angels,111,7.66,1.4654,3233.0,4944.0,,815.0,10.529774602957168
111,enjoy,112,7.66,1.4654,518.0,2605.0,3091.0,1878.0,10.529774602957168
112,friend,113,7.66,1.5066,186.0,768.0,394.0,308.0,10.529774602957168
113,friendly,114,7.66,1.5467,1841.0,3095.0,4290.0,3042.0,10.529774602957168
114,mother's,115,7.66,1.2875,,3434.0,,,10.529774602957168
115,profit,116,7.66,1.239,1890.0,2140.0,2107.0,,10.529774602957168
116,finest,117,7.66,1.3875,,,,3225.0,10.529774602957168
117,bday,118,7.64,1.6753,825.0,,,,10.437600605477051
118,champion,119,7.64,1.2249,3165.0,,1772.0,,10.437600605477051
119,grandmother,120,7.64,1.3516,,,505.0,,10.437600605477051
120,haha,121,7.64,1.3815,135.0,,,3211.0,10.437600605477051
121,kiss,122,7.64,1.7585,711.0,,,314.0,10.437600605477051
122,kitten,123,7.64,1.2898,3864.0,,,,10.437600605477051
123,miracle,124,7.64,1.8926,2510.0,,,1924.0,10.437600605477051
124,mom,125,7.64,1.8709,426.0,,4015.0,1269.0,10.437600605477051
125,sweet,126,7.64,1.0645,431.0,2347.0,2708.0,243.0,10.437600605477051
126,blessings,127,7.62,1.6274,3957.0,,,4242.0,10.345426607996938
127,bright,128,7.62,1.1409,1344.0,2152.0,3001.0,649.0,10.345426607996938
128,cutest,129,7.62,1.0859,4009.0,,,,10.345426607996938
129,entertaining,130,7.62,1.0859,3616.0,,,,10.345426607996938
130,excited,131,7.62,1.3981,508.0,3790.0,,3077.0,10.345426607996938
131,excitement,132,7.62,1.6523,2972.0,4058.0,,,10.345426607996938
132,joke,133,7.62,1.3981,821.0,,,1685.0,10.345426607996938
